Company,Industry,Website,ATS_Url,Method
Featherless.ai,information technology & services,http://www.featherless.ai,https://jobs.ashbyhq.com/featherlessai,URL_Guess
Aurascape,information technology & services,http://www.aurascape.ai,,
BuildClub,information technology & services,http://www.buildclub.com,,
Félix,financial services,http://www.felixpago.com,,
Ditto,information technology & services,http://www.ditto.com,https://jobs.ashbyhq.com/ditto,URL_Guess
Augment,logistics & supply chain,http://www.goaugment.com,https://jobs.ashbyhq.com/go-augment,Site_careers
Nace.AI,information technology & services,http://www.nace.ai,https://nace.ai/careers,Custom_careers_Page
Capture6,environmental services,http://www.capture6.org,https://capture6.breezy.hr,Site_careers
Cartesia,information technology & services,http://www.cartesia.ai,https://jobs.ashbyhq.com/cartesia,URL_Guess
Lumber,financial services,http://www.lumberfi.com,https://www.lumberfi.com/careers,Custom_careers_Page
Spiritus,environmental services,http://www.spiritus.com,https://jobs.ashbyhq.com/spiritus,URL_Guess
Mitra Chem,semiconductors,http://www.mitrachem.com,https://www.mitrachem.com/join-us,Custom_join-us_Page
Tera AI,research,http://www.tera-ai.com,,
Coreshell Technologies,nanotechnology,http://www.coreshell.com,https://www.coreshell.com/careers,Custom_careers_Page
Mesh,financial services,http://www.meshconnect.com,https://job-boards.greenhouse.io/mesh,Site_careers
SunTrain,utilities,http://www.suntrain.co,,
Equilibrium Energy,environmental services,http://www.equilibriumenergy.com,https://boards.greenhouse.io/equilibriumenergy,Site_careers
Stackless Data,information technology & services,http://www.stacklessdata.com,,
Joule Labs,information technology & services,http://www.joulelabs.com,,
GrubMarket,information technology & services,http://www.grubmarket.com,https://www.grubmarket.com/jobs,Custom_jobs_Page
Zocks,information technology & services,http://www.zocks.io,https://jobs.lever.co/zocks,URL_Guess
Causal Labs,information technology & services,http://www.getcausal.ai,https://jobs.ashbyhq.com/causal,URL_Guess
Intangible,information technology & services,http://www.intangible.ai,https://jobs.ashbyhq.com/intangible,Site_Homepage
Freed,hospital & health care,http://www.getfreed.ai,https://jobs.ashbyhq.com/freed,URL_Guess
Turing,information technology & services,http://www.turing.com,https://www.turing.com/careers,Custom_careers_Page
Momentic,information technology & services,http://www.momentic.ai,https://jobs.ashbyhq.com/momentic,URL_Guess
LlamaIndex,information technology & services,http://www.llamaindex.ai,https://jobs.ashbyhq.com/llamaindex,URL_Guess
VidAU,marketing & advertising,http://www.vidau.ai,https://www.vidau.ai/careers/,Custom_careers_Page
Perlumi,research,http://www.gigacrop.com,,
nunu.ai,information technology & services,http://www.nunu.ai,,
Wavv,information technology & services,http://www.wavv.app,,
